,dialogue,label,predict_label
171,wait penny take,LEONARD,SHELDON
172,still won’t shag old lady huh,PENNY,HOWARD
173,really organise you’re actually dirty per se,SHELDON,LEONARD
174,yep ‘cause i’m gonna dead,PENNY,OTHERS
175,sheldon need quote spock’s dying word,LEONARD,LEONARD
176,course oracle tell little neo one see matrix can’t,SHELDON,SHELDON
177,list heinous act leonard one certainly cause wet bed well teen,SHELDON,SHELDON
178,want sheldon,OTHERS,LEONARD
179,oh uh come come oh uh didn’t think go get see tomorrow,RAJ,LEONARD
180,okay sheldon i’m go leading series meditation exercise method come ancient guru india help overcome fear,RAJ,LEONARD
181,raj blow gate,HOWARD,HOWARD
182,nope,HOWARD,SHELDON
183,i’m go movie penny don’t want think think it’s date,LEONARD,LEONARD
184,relationship agreement section boo-boos ouchies take care,SHELDON,SHELDON
185,exactly mean,SHELDON,PENNY
186,yeah it’s also wand,RAJ,SHELDON
187,excuse sorry excuse,LEONARD,SHELDON
188,damn everyone’s well,PENNY,PENNY
189,yes sure put emergency brake really make thing tough budge,SHELDON,LEONARD
190,that’s threat mother’s always want grandchild,SHELDON,SHELDON
191,right,LEONARD,SHELDON
192,she’s enigma raj,LEONARD,LEONARD
193,say drop,LEONARD,LEONARD
194,howard learn sew,OTHERS,SHELDON
195,like,RAJ,RAJ
196,whole lot weird coffee,PENNY,LEONARD
197,that’s good point time much valuable know perhaps find someone know someone rudimentary understanding science whose real talent lie menial labour,SHELDON,SHELDON
198,yeah guess,LEONARD,LEONARD
199,wow wonder didn’t get toothpaste commercial,SHELDON,PENNY
200,you’re kid right mean know i’m try lose weight god think partner marriage,HOWARD,PENNY
201,yo p-dog,OTHERS,SHELDON
202,look howard third date know mean,OTHERS,LEONARD
203,okay well that’s really cool,PENNY,PENNY
204,know i… know mean it’s just… it’s first date,PENNY,LEONARD
205,silence much longer must wait revenge,SHELDON,SHELDON
206,you’re right i’m fine i’m wearing,LEONARD,LEONARD
207,gentleman anybody interested old string theory book,SHELDON,SHELDON
208,sometimes left hand try cop feel let,OTHERS,OTHERS
209,say look think you’re really good truly incredibly hard thing you’re shoot mean odds anyone become successful actor like million one,LEONARD,PENNY
210,get buddy,SHELDON,HOWARD
211,beatles bore eminem scary weird al old neil diamond,OTHERS,LEONARD
212,hey get favour ask,HOWARD,LEONARD
213,i’m gonna fix right,OTHERS,LEONARD
214,know recall see female undergarment oh yes earlier evening happen gaze window brassiere catch eye look familiar,SHELDON,SHELDON
215,yeah really didn’t think,LEONARD,LEONARD
216,oh sheldon glad you’re back take turn bad think i’m go need another bath,OTHERS,OTHERS
217,korean family alhambra,OTHERS,SHELDON
218,well course scissors cut paper paper cover rock rock crush lizard lizard poison spock spock smash scissors scissors decapitate lizard lizard eats paper paper disprove spock spock vaporizes rock always rock crush scissors,SHELDON,SHELDON
219,dunno think it’s waste relax i’m look box,PENNY,LEONARD
220,well howard explain awful would work significant,SHELDON,SHELDON
221,god’s sake don’t need hear can’t say i’m busy,HOWARD,SHELDON
222,she’s reason i’ve i’ve stay long,OTHERS,SHELDON
223,hi i’m sorry bother guys you’ve get come take sheldon back,PENNY,LEONARD
224,didn’t say never listen,HOWARD,LEONARD
225,go hulk,PENNY,LEONARD
226,put bed go home,LEONARD,LEONARD
227,come,SHELDON,LEONARD
228,janine machine wet’s,OTHERS,SHELDON
229,okay wait right,PENNY,PENNY
230,agree you’ve never hear party,RAJ,SHELDON
231,yes good news,SHELDON,SHELDON
232,oh god’s sake leonard priya isn’t doesn’t want hanging,PENNY,PENNY
233,stand friend come,HOWARD,SHELDON
234,oh penny nice meet,PENNY,OTHERS
235,brain lesion,SHELDON,OTHERS
236,listen sheldon think since gonna first halloween party boyfriend girlfriend thought might fun go couple costume,OTHERS,PENNY
237,yeah home,LEONARD,LEONARD
238,oh it’s hardly hack use password everything kal-el,SHELDON,LEONARD
239,look maybe long shot sometimes long shot happen luke skywalker give one chance destroy death star get torpedo exhaust port two meter wide help force he… wow feel hat right,LEONARD,LEONARD
240,i’m excite talk,HOWARD,OTHERS
241,yeah good start counting,OTHERS,LEONARD
242,sound like great night,LEONARD,OTHERS
243,sheldon you’re condescend jerk earth would want something nice,HOWARD,OTHERS
244,yeah,LEONARD,LEONARD
245,wow bunch nosey o’donnells,RAJ,PENNY
246,skee-ball ticket,LEONARD,SHELDON
247,much pepper salad,SHELDON,SHELDON
248,george smoot nobel prize-winning physicist one great mind time work black body form anisotropy cosmic microwave background radiation cement understanding origin universe,SHELDON,SHELDON
249,maybe,HOWARD,LEONARD
250,love way say i’d love,LEONARD,SHELDON
251,i’m androgynous,LEONARD,SHELDON
252,oh sheldon can’t,PENNY,LEONARD
253,danger,SHELDON,SHELDON
254,uh know it’s,LEONARD,LEONARD
255,sheldon engage sexual intercourse news i’m think start herb garden mum’s word gotta go,OTHERS,SHELDON
256,good remember take shirt,LEONARD,SHELDON
257,look come amy look let make we’ll girl’s night we’ll whatever want,PENNY,LEONARD
258,right you’ve make point,SHELDON,SHELDON
259,what’s point,SHELDON,LEONARD
260,right get bernadette think break howard,SHELDON,OTHERS
261,well…,LEONARD,PENNY
262,we’re gonna stop target way,PENNY,HOWARD
263,okay turn dad write family important thing never throw away like,LEONARD,SHELDON
264,know however xbox one control entire entertainment system use voice command i’ve use leonard,SHELDON,SHELDON
265,it’s questionnaire devise i’m difficulty bond colleague work i’m little research well understand current friend like,SHELDON,SHELDON
266,don’t get great time,RAJ,LEONARD
267,honey can’t make people like,PENNY,OTHERS
268,i’m sorry really think guy go instead wouldn’t as,PENNY,PENNY
269,yeah,OTHERS,LEONARD
270,talk,RAJ,LEONARD
271,oh don’t think,HOWARD,LEONARD
272,yeah beam love,PENNY,LEONARD
273,talk,PENNY,LEONARD
274,well it’s exactly plan think i’m go pas,SHELDON,PENNY
275,way go,HOWARD,SHELDON
276,look penny you’re great long talk parent say date indian girl get maserati,RAJ,LEONARD
277,leonard nice i’m glad,PENNY,PENNY
278,advancement science,OTHERS,SHELDON
279,uh xbox one,RAJ,SHELDON
280,she’s kind mean drunk gonna,RAJ,LEONARD
281,okay,OTHERS,PENNY
282,it’s like alderaan,RAJ,RAJ
283,hey think elastic woman incredibles need use birth control diaphragm,RAJ,SHELDON
284,great,PENNY,LEONARD
285,focus game commercial raj,LEONARD,SHELDON
286,i’ve heard enough sit,SHELDON,HOWARD
287,don’t,LEONARD,SHELDON
288,howard announce intention propose marriage bernadette,SHELDON,OTHERS
289,oh i’ve heard place isn’t pasadena’s favourite irish watering hole,SHELDON,SHELDON
290,kind hoping could continue vacation laboratory book whole week,SHELDON,LEONARD
291,good news finally handle idea three-person chess,SHELDON,SHELDON
292,really don’t think tha…,HOWARD,LEONARD
293,right i’ll make tea,SHELDON,SHELDON
294,yeah sorry sorry tell secret,PENNY,PENNY
295,respect,RAJ,LEONARD
296,cinnamon,OTHERS,RAJ
297,shouldn’t put brown paper bag set fire,HOWARD,SHELDON
298,far less impressive feat,SHELDON,SHELDON
299,harmony one fine didn’t need upgrade eleven hundred know big hand,LEONARD,SHELDON
300,sure,PENNY,LEONARD
301,oh yummy yummy often uh-oh,SHELDON,LEONARD
302,excite texas,OTHERS,SHELDON
303,thoughtful gift comic book condition worth least hundred dollar,SHELDON,SHELDON
304,point,SHELDON,SHELDON
305,uh well in… word,PENNY,LEONARD
306,well sure don’t know know total stranger even yummy candy would get van,HOWARD,SHELDON
307,oh god alf doll mother get one help sleep dad leave used pretend dad move planet melmac alf go bring back never where’s daddy puppet,HOWARD,OTHERS
308,oh need permission,PENNY,SHELDON
309,override switch,OTHERS,SHELDON
310,go dance every wednesday,SHELDON,SHELDON
311,it’s boy-girl party flash run solo,HOWARD,SHELDON
312,come,LEONARD,LEONARD
313,that’s okay i’ll get,RAJ,LEONARD
314,we’ll,LEONARD,LEONARD
315,right i’ll start easy one um isaac newton madame curie niels bohr,SHELDON,SHELDON
316,oh thank god you’re,HOWARD,OTHERS
317,get well idea,HOWARD,LEONARD
318,mom’s make brisket tonight,HOWARD,HOWARD
319,didn’t mean shut,PENNY,LEONARD
320,shh pretend we’re,LEONARD,OTHERS
321,well look burn whole calorie,LEONARD,LEONARD
322,and…,SHELDON,SHELDON
323,laundry like six thing,LEONARD,PENNY
324,blood work show thyroid function normal cortisol level normal,OTHERS,SHELDON
325,still get part that’s huge accomplishment,LEONARD,SHELDON
326,nice shot,LEONARD,HOWARD
327,one think matey,LEONARD,OTHERS
328,okay deal,RAJ,PENNY
329,okay i’m sorry make little uncomfortable,HOWARD,LEONARD
330,uh-huh it’ll last forever preserve one percent solution polyvinyl acetal resin,LEONARD,LEONARD
331,mimesis,LEONARD,SHELDON
332,come listen want go back way know friend sprinkle,PENNY,PENNY
333,course i’m busy,SHELDON,SHELDON
334,yeah okay stop try make relationship,SHELDON,PENNY
335,i’m girlfriend that’s job know gift-giving put lot pressure whatever get return,OTHERS,SHELDON
336,look who’s put jew jewellery night,HOWARD,HOWARD
337,know mr data isn’t suppose smile come,SHELDON,SHELDON
338,hi,OTHERS,PENNY
339,okay really need honorary justice league america membership card,LEONARD,SHELDON
340,actually that’s true leonard fact recently i’ve think give parameter experiment transport electron aperture nano-fabricated metal ring qualitatively different experiment already conduct netherlands observed phase shift diffuse electron inside metal ring already conclusively demonstrate electric analogue aharonov-bohm quantum-interference effect that’s that’s know oh wait fig newton name town massachusetts scientist,PENNY,SHELDON
341,yeah,PENNY,LEONARD
342,good night real amy,PENNY,SHELDON
343,doesn’t matter right you’re look treasure,SHELDON,LEONARD
344,you’re welcome,LEONARD,SHELDON
345,please don’t tell anyone spend night raj’s sister,LEONARD,LEONARD
346,hey,HOWARD,LEONARD
347,oh okay thank,OTHERS,LEONARD
348,hey guy think priya take clothes shop,LEONARD,PENNY
349,well yeah,PENNY,PENNY
350,touche,OTHERS,SHELDON
351,isn’t somewhere else,HOWARD,PENNY
352,don’t need explain,OTHERS,SHELDON
353,good news gentleman tentatively accepted…,SHELDON,SHELDON
354,stop last time you’re fat,OTHERS,SHELDON
355,well others might qualify thought interview give stomach ache know i’m propose enormous undertaking don’t take moment discuss,SHELDON,SHELDON
356,anything want,HOWARD,LEONARD
357,he’s right can’t,LEONARD,RAJ
358,come it’s go fun look great mean look thor oh peter pan that’s cute,PENNY,PENNY
359,oh hold door,OTHERS,SHELDON
360,you’re,LEONARD,SHELDON
361,dad,LEONARD,OTHERS
362,point don’t know let something go,PENNY,LEONARD
363,well despite quirk three accomplish respective field,OTHERS,SHELDON
364,always look never end well,SHELDON,LEONARD
365,conversation make uncomfortable,SHELDON,SHELDON
366,yeah she’s right you’re grow men kind perfectly capable grow moo-staches,SHELDON,LEONARD
367,okay that’s lot money wise thing invest something practical like jet ski,RAJ,LEONARD
368,stuart,RAJ,LEONARD
369,course remove joe chill killer batman’s parent effectively deprive raison d’être,SHELDON,SHELDON
370,i’m state outright babinski eats dirac breakfast defecates clarke-maxwell,OTHERS,LEONARD
371,how…,SHELDON,OTHERS
372,don’t think kind wrestling bell,RAJ,HOWARD
373,come sheldon,OTHERS,LEONARD
374,many star trek uniform,OTHERS,SHELDON
375,well doesn’t want live tell feel,LEONARD,LEONARD
376,i’m do thank think back good time like uh go camp spent night tell secret tell i’m addict pedicure tell lose virginity cousin,RAJ,LEONARD
377,raj you’ll won’t right so-called friend forsaken guess it’ll eyewitness,SHELDON,LEONARD
378,leonard please don’t need run commentary,OTHERS,SHELDON
379,homo novus doesn’t know,SHELDON,LEONARD
380,sheldon hell,PENNY,LEONARD
381,come buddy open,LEONARD,HOWARD
382,yes much friendship fundamentally asymmetrical clearly like like,OTHERS,SHELDON
383,every time drink alcohol,SHELDON,SHELDON
384,sheldon come,LEONARD,PENNY
385,work,RAJ,SHELDON
386,i’m try say maybe can’t approach purely intellectual exercise,LEONARD,LEONARD
387,don’t think that’s go happen sheldon,LEONARD,LEONARD
388,closing get whole box sixty buck,HOWARD,LEONARD
389,hope sake captain hook so… call,PENNY,SHELDON
390,really,SHELDON,LEONARD
391,sheldon we’re really sorry,RAJ,LEONARD
392,fifty cent vagisil,PENNY,SHELDON
393,call bozites,LEONARD,LEONARD
394,wow come girls’ night often weren’t would pabst,PENNY,RAJ
395,don’t understand,LEONARD,SHELDON
396,really,PENNY,LEONARD
397,really need agreement,LEONARD,SHELDON
398,oh yeah it’s extremely competitive cutthroat sport,LEONARD,PENNY
399,well it’s simple ragtag band scientist nothing lose i’m smart one wolowitz funny one koothrappali lovable foreigner struggle understand way fail leave default muscle,SHELDON,SHELDON
400,vomit lot clown,SHELDON,LEONARD
401,it’s nothing particular i…,HOWARD,LEONARD
402,okay you’re go drink date promise won’t overdo,PENNY,PENNY
403,would,LEONARD,SHELDON
404,cover,LEONARD,SHELDON
405,sheldon i’ve hidden dirty sock roof somewhere apartment unless willing come meet girl remain forever,RAJ,OTHERS
406,listen sheldon misunderstood meant work together there’d much way around,HOWARD,LEONARD
407,don’t minute i’m run really late,PENNY,SHELDON
408,that’s i’m go make look,LEONARD,PENNY
409,freaking pig,OTHERS,PENNY
410,it’s kind thing ask guy you’ve meet,PENNY,LEONARD
411,must curious,OTHERS,SHELDON
412,hello penny,SHELDON,SHELDON
413,yeah that’s great guy want corn dog,LEONARD,LEONARD
414,fold sheet underwear still pretty crazy,LEONARD,LEONARD
415,oh god’s sake come play,PENNY,LEONARD
416,bad send gift,SHELDON,SHELDON
417,ah combination name clever assume koothranardowitz take,SHELDON,SHELDON
418,would hope,LEONARD,SHELDON
419,oh oh mean something could,SHELDON,SHELDON
420,it’s money,LEONARD,SHELDON
421,you’re kid,OTHERS,LEONARD
422,hey,PENNY,LEONARD
423,may buy beverage,SHELDON,SHELDON
424,you’re insane,OTHERS,LEONARD
425,forget sword sheldon help raj,LEONARD,LEONARD
426,run,PENNY,PENNY
427,little bit,LEONARD,LEONARD
428,fine interest preserving friendship…,SHELDON,SHELDON
429,want didn’t say come,LEONARD,LEONARD
430,ooh,PENNY,OTHERS
431,i’m lie comatose hospital rely inferior mind cure jello culture accompany note give fight chance,SHELDON,SHELDON
432,come sheldon right,PENNY,PENNY
433,you’re welcome,PENNY,SHELDON
434,translation,PENNY,SHELDON
435,god don’t tell i’m toll taker golden gate bridge rocket scientist humiliate,SHELDON,LEONARD
436,raise heck mr wil wheaton four hour would close hometown buffet,SHELDON,SHELDON
437,forget cake know birthday saturday,LEONARD,PENNY
438,i’m jealous right i’d kill hobo it’ll get lay order,RAJ,LEONARD
439,course,PENNY,SHELDON
440,tell,PENNY,LEONARD
441,excuse miss i’d like order lunch,SHELDON,SHELDON
442,alright,SHELDON,SHELDON
443,ph.d’s gonna go suck like kripke,HOWARD,LEONARD
444,hey,LEONARD,LEONARD
445,i’m,PENNY,SHELDON
446,i’m strong enough get chest plate we’ve get one shot,OTHERS,HOWARD
447,ah you’re go grid,LEONARD,SHELDON
448,ask,PENNY,LEONARD
449,i’m sorry get bore drift exactly interaction suck lie,SHELDON,SHELDON
450,wasn’t go tell,OTHERS,LEONARD
451,never meet that’s make perfect awkward hello hall clickety-clacking high heel shoe hardwood floor may well family cat jump around drape drape without annoy ammonia urine smell,SHELDON,SHELDON
452,isn’t jewellery place open feeling,RAJ,PENNY
453,don’t think would,OTHERS,LEONARD
454,clean look mess joker make gotham city,HOWARD,OTHERS
455,ever work,LEONARD,SHELDON
456,that’s avatar world warcraft take place azeroth goodness gracious allow carry gun least refer rogue ex-cop,SHELDON,LEONARD
457,one already accident,PENNY,SHELDON
458,return apartment presume shower vomit necessarily order,SHELDON,SHELDON
459,gentleman switch local nerd news fishman chen chowdry mcnair aren’t field team university physic bowl year,HOWARD,SHELDON
460,think professional downside,LEONARD,SHELDON
461,isn’t,SHELDON,SHELDON
462,hang,HOWARD,LEONARD
463,thank,SHELDON,SHELDON
464,twenty six hundred year,PENNY,SHELDON
465,skip part two-week quarantine expose deadly disease absolutely,HOWARD,SHELDON
466,wrong wrong absolute state subject gradation,SHELDON,SHELDON
467,good idea attention bird want oh much good right i’ll get along life make pot tea leonard it’s go long night,SHELDON,SHELDON
468,wait minute talk inappropriate behaviour,LEONARD,SHELDON
469,someday exactly four year don’t tell sheldon he’s still flight risk,OTHERS,LEONARD
470,time kid mom use say you’re puzzle it’s like thousand friend full fun lie like,OTHERS,SHELDON
471,that’s reason cry one cry one sad example cry others stupid make sad,SHELDON,SHELDON
472,morning,LEONARD,SHELDON
473,it’s,LEONARD,LEONARD
474,sheldon right i’m really sorry should’ve know well,PENNY,PENNY
475,yeah get,HOWARD,PENNY
476,oh oh bad,LEONARD,RAJ
477,let show consider brightness pulsate variable star start see possible explanation discrepancy find hubble’s constant,OTHERS,SHELDON
478,see roommate agreement,OTHERS,SHELDON
479,paraffin candle may contain carcinogen unless lung cancer ambiance go dinfast dinfast,SHELDON,SHELDON
480,okay what’s suppose to… oh god freaky,PENNY,HOWARD
481,right don’t open q&a audience,SHELDON,SHELDON
482,uh wait come character die,RAJ,RAJ
483,he’s probably right,RAJ,LEONARD
484,he’s hard find easy find book would call there’s waldo,LEONARD,LEONARD
485,right boone north carolina every summer since boone host outdoor amphitheater portrayal life time namesake dan’l boone sound like something would attract wrong crowd penny you’re nebraska correct,SHELDON,SHELDON
486,oh dude never get shiksa goddess,RAJ,RAJ
487,believe stuart’s walk around take credit party,RAJ,RAJ
488,well quick open statement like milk stool case rest three legs demonstrate improperly instruct drive woman whose lack respect society border sociopathic argue emergency meet legal doctrine quod est necessarium est licitum necessary legal first raise sixth amendment issue i’m unable confront accuser non-human entity wit camera sum improper instruction quod est necessarium est licitum sixth amendment milk stool complete,SHELDON,SHELDON
489,oh yeah mummy wrap bandage,LEONARD,LEONARD
490,uh would like come,RAJ,RAJ
491,hey get snoopy snowcone,LEONARD,LEONARD
492,leonard may notice delight you’re hold end evening,OTHERS,SHELDON
493,i’d love don’t tangerine chicken,SHELDON,SHELDON
