,dialogue,label,predict_label
257,ohh i’m get pregnant lug around stupid massage table y’know find job carry small table,PHOEBE,RACHEL
258,tell wait,ROSS,MONICA
259,yes joey's make arrangement baby movie,CHANDLER,CHANDLER
260,don’t know,MONICA,RACHEL
261,oh god ice get eye,MONICA,RACHEL
262,yeah,ROSS,ROSS
263,wait wait copy key,JOEY,RACHEL
264,come honey let's go drink body weight,Others,MONICA
265,ah sex,Others,JOEY
266,right rock,CHANDLER,CHANDLER
267,surreal okay think interested,RACHEL,ROSS
268,kid,CHANDLER,CHANDLER
269,ha ahhhhhhh,Others,PHOEBE
270,night-night bing-a-ling,Others,Others
271,ohh great,RACHEL,Others
272,keep old one back ageist,PHOEBE,PHOEBE
273,noo nothing,JOEY,RACHEL
274,hey gunther uh see chandler,JOEY,ROSS
275,think he's across hall,RACHEL,CHANDLER
276,uhh yeah think i’m go take-off,Others,JOEY
277,tell,CHANDLER,RACHEL
278,oh good luck,MONICA,Others
279,bing,Others,Others
280,hey get okay get big time i’m happy ya i’m tire relationship answer machine okay don’t know anymore,ROSS,ROSS
281,pretend,CHANDLER,CHANDLER
282,yeah well sorry joe say let's friend guess,Others,CHANDLER
283,hey nothing talk last hour school yard you’d pull pigtail push,CHANDLER,MONICA
284,yeah yeah emily always want get marry beautiful place parent get married it’s go torn so… mean i-i know it’s crazy everything ‘til crazy don’t know feel right y’know,ROSS,ROSS
285,okay i’ll pay tomorrow,Others,Others
286,look everybody look new dollhouse,PHOEBE,MONICA
287,really,ROSS,MONICA
288,oh best karma week first find woman know parent client fuzzy back give beach house,PHOEBE,PHOEBE
289,ok um hi hello hi ok um song love triangle three people make um call um two kiss last night,Others,ROSS
290,start wanna say umm cold sneeze middle song purpose oh except last verse pepper people smelly cat smelly cat feed chick sound good smelly cat smelly hey gunther good little boy bring whiskey,PHOEBE,ROSS
291,even say break janice,ROSS,CHANDLER
292,hey buddy how’s go,JOEY,Others
293,right pheebs stick plate,JOEY,JOEY
294,know i’m gonna i’m gonna call i’m gonna ask ask doin’ hi joshua it’s rachel green bloomingdale’s yeah umm wonder umm umm leave wallet store today well find wallet we— license well good idea uh well let’s see say license belongs uh uh belongs mister uh pheebs umm yeah sorry bother home i’ll see tomorrow bye you’ve do thousand time,RACHEL,RACHEL
295,oh much i-i get job,RACHEL,RACHEL
296,oh ross doesn’t know anything,PHOEBE,RACHEL
297,look know place right really need hate julie's gut anything wrong mean girl meet guy go really think give chance like would give chance,MONICA,RACHEL
298,go keep go keep go,JOEY,JOEY
299,wow heckle vote class clown right would listen,CHANDLER,JOEY
300,ladle,MONICA,Others
301,ahem want ok want feel hot soft skin lip,ROSS,ROSS
302,kiss girlfriend,JOEY,Others
303,stripper bachelor party cliché get magician,PHOEBE,ROSS
304,look cute bubble,MONICA,MONICA
305,right umm even though love much none less…,Others,Others
306,okay must,ROSS,ROSS
307,can't can't can't marry mindy think i'm still love,Others,RACHEL
308,yep yep that’s didn’t want know,Others,ROSS
309,oh good get try,Others,CHANDLER
310,involve clog,MONICA,MONICA
311,oh i'm sorry oh stupid mean give barry right happy i'm happy,RACHEL,RACHEL
312,wanna quit gym,CHANDLER,CHANDLER
313,oh,ROSS,PHOEBE
314,oh right,Others,RACHEL
315,marcel bring rice c'mon bring rice c'mon good boy good boy c'mere gimme rice thank good boy well see he's finally master difference bring pee bring rach,ROSS,ROSS
316,get cha guy easy,PHOEBE,RACHEL
317,i’ve lot think lot umm well come whole bunch business van okay umm could flower delivery person,MONICA,PHOEBE
318,hi chandler,MONICA,Others
319,mean cut accident,MONICA,ROSS
320,oh god date someone glass eye,PHOEBE,Others
321,flame boy,PHOEBE,ROSS
322,ugly naked guy look awfully still,JOEY,ROSS
323,oh well probably would’ve constructive solution,ROSS,Others
324,sophie get see you’re make sophie uncomfortable,Others,RACHEL
325,speak christmas umm since monica start new business like money umm year maybe could secret santa buy one gift and-and there’s add mystery get,PHOEBE,PHOEBE
326,marlon,ROSS,Others
327,yeah oh yeah mean connection mean y’know emotionally mentally physically…,RACHEL,RACHEL
328,oh ok oh sorry,Others,RACHEL
329,oh well card card know uh look happy,ROSS,RACHEL
330,well exactly like one poem,PHOEBE,RACHEL
331,hey phoebe,Others,MONICA
332,pre-game i'm gonna watch reception,JOEY,MONICA
333,yeah,Others,ROSS
334,might say it’s magic ring,CHANDLER,ROSS
335,oh yeah yeah,Others,JOEY
336,hey,MONICA,JOEY
337,know le poo right it'll get good,PHOEBE,JOEY
338,take bra,JOEY,RACHEL
339,yeah that’s pretty much mind,Others,Others
340,think miss,Others,PHOEBE
341,oh you’re sweet cute,Others,RACHEL
342,oh yeah oh oh,Others,PHOEBE
343,i’m genuinely sorry mark thing didn’t work look rach want good thing,ROSS,ROSS
344,hey rachel i-i-i've want tell something really get,ROSS,MONICA
345,yeah,ROSS,ROSS
346,oh go you’re never gonna get,PHOEBE,RACHEL
347,woo-hoo,JOEY,MONICA
348,two people finally realise feeling and-and talk hour they-they learn person,MONICA,ROSS
349,bye hon,RACHEL,Others
350,remember go central park rent boat fun,RACHEL,RACHEL
351,want lump ross well go buddy ya get one,MONICA,JOEY
352,guy,ROSS,ROSS
353,nah get,MONICA,ROSS
354,ohh sign emily huh,RACHEL,ROSS
355,ross emily make declaration give great pleasure declare husband wife,Others,Others
356,suppose audition another hour,CHANDLER,MONICA
357,okay word snug,CHANDLER,ROSS
358,use breast get people's attention,RACHEL,ROSS
359,oh god that’s pete bill huggin’ pete,MONICA,MONICA
360,okay ross bathroom,CHANDLER,RACHEL
361,i-i think i’m gonna look around little bit,Others,MONICA
362,oh,RACHEL,PHOEBE
363,ohh that's nice great well where's trip,PHOEBE,RACHEL
364,leg,MONICA,Others
365,wait you’re go kathy,CHANDLER,JOEY
366,oh sweetie oh,PHOEBE,MONICA
367,oh problem i’m glad could help happy,RACHEL,RACHEL
368,great go ranger game last night,CHANDLER,CHANDLER
369,okay,PHOEBE,RACHEL
370,hey uh rach funny story ah bump joanna street yesterday,CHANDLER,ROSS
371,um bring truck,RACHEL,PHOEBE
372,chandler kiss see happen break code,JOEY,ROSS
373,yes sister's give place weekend,RACHEL,CHANDLER
374,i'm stupid,MONICA,RACHEL
375,yeah y’know wanna cry that’s okay,MONICA,ROSS
376,touch fanny,Others,Others
377,okay okay doesn’t call definitely wait wait unless eventually call y’know what’s go say she’ll call back doesn’t it’s,ROSS,ROSS
378,we're alone empty apartment,ROSS,MONICA
379,unless want spend night hold hair back,PHOEBE,MONICA
380,that's cool cool,Others,ROSS
381,yep oh yeah look great oh yeah yeah look great umm like,RACHEL,PHOEBE
382,hockey hockey hockey,Others,JOEY
383,well wait minute wha title,ROSS,MONICA
384,stupid fear hate fear would like take fear,RACHEL,Others
385,ok order,RACHEL,RACHEL
386,right let's show do,CHANDLER,RACHEL
387,he's even kind cute,PHOEBE,MONICA
388,look don’t understand gandolf amazing y’know you’re never know what’s gonna end happen go couple beer end fish boat nova scotia,CHANDLER,CHANDLER
389,you’re run hide,CHANDLER,MONICA
390,can’t believe didn’t tell suicide note,PHOEBE,CHANDLER
391,know reference number right i'll see get message bye bye,PHOEBE,Others
392,yeah yeah little,Others,JOEY
393,okay,ROSS,RACHEL
394,really think make good point mean y'know get cut,PHOEBE,ROSS
395,oh whatever,ROSS,Others
396,you’re good you’re good,Others,JOEY
397,yes,MONICA,CHANDLER
398,quick take dress won’t notice bed,MONICA,MONICA
399,bed order,MONICA,CHANDLER
400,c'mon he's right tit tat,RACHEL,ROSS
401,hey,ROSS,JOEY
402,okay,MONICA,RACHEL
403,phoebe toll free is-is utah,ROSS,MONICA
404,kinda stuff,MONICA,JOEY
405,c'mon sit sit sit,JOEY,RACHEL
406,oh god,Others,MONICA
407,guess they’re back date,MONICA,Others
408,dark big hair airplane earring,RACHEL,Others
409,oh god didn’t…,PHOEBE,RACHEL
410,pooped shoe,MONICA,ROSS
411,well i'm telethon thing tv agent get job co-host,JOEY,JOEY
412,thanksgiving-y,Others,ROSS
413,hey pheebs hi,Others,RACHEL
414,know maybe we're kinda magnet,MONICA,JOEY
415,yes chair that’s take good care teeth y'know it’s oral hygiene floss save life,PHOEBE,RACHEL
416,okay let’s start free message outside un,MONICA,CHANDLER
417,he’s perfect he’s never well,RACHEL,RACHEL
418,big deal,JOEY,JOEY
419,hey okay get passport fresh sock snake bite kit,ROSS,MONICA
420,soo enjoy,RACHEL,CHANDLER
421,know,PHOEBE,RACHEL
422,oh could go uh great ease… bah-bah-bha-bhannn go right,ROSS,ROSS
423,noo don’t boyfriend because....i don’t don’t know don’t boyfriend boyfriend,CHANDLER,ROSS
424,well that’s true he-he smack,CHANDLER,CHANDLER
425,well we’re fashion long poking device,JOEY,CHANDLER
426,hey take back want,MONICA,CHANDLER
427,i’m margha,Others,Others
428,hey guess i'm weekend i'm go culinary fair new jersey,MONICA,MONICA
429,oh hero happen,RACHEL,PHOEBE
430,yes fran know time i'm look wenus i'm happy oh really really really well let tell something care care get good whooooaaaa,CHANDLER,PHOEBE
431,honey relax gonna fine hey umm come i'll take lunch,ROSS,RACHEL
432,carol's favorite beer always drink know,ROSS,ROSS
433,really big,RACHEL,JOEY
434,yeah,ROSS,ROSS
435,hi phoebe drugstore get little present,Others,MONICA
436,well terminal need damage control,MONICA,RACHEL
437,brian,Others,CHANDLER
438,nothing nothing,JOEY,PHOEBE
439,actually make feel big,PHOEBE,ROSS
440,oh that’s fine go instinct go instinct,CHANDLER,RACHEL
441,honey say poconos poconos like poc-o-nos,RACHEL,RACHEL
442,okay,RACHEL,RACHEL
443,oh uh want think might restaurant y'know might kind life like sit around hone past hour,CHANDLER,CHANDLER
444,ross,MONICA,RACHEL
445,oh think guy like four date didn’t realise become anything yet,ROSS,ROSS
446,oh god joey throw leg fire,MONICA,MONICA
447,monica come let's go baby come,ROSS,ROSS
448,oh god,Others,MONICA
449,hey,JOEY,JOEY
450,look strong enough codependent relationship right ok,Others,ROSS
451,already big bitch behind tried steal umbrella clock ohhh can’t believe want hour outside work see joshua go ahead start fall love,RACHEL,RACHEL
452,oh oh,Others,PHOEBE
453,know morning know kitchen,RACHEL,Others
454,c'mon guy tell dirt,RACHEL,RACHEL
455,god can’t even look,MONICA,RACHEL
456,ooh shame face chest could really put something together,Others,PHOEBE
457,hmmm oh think something funny heard today umm mark mark say ‘i’ll see saturday.’,ROSS,Others
458,i’m sorry,PHOEBE,Others
459,well never know how's um how's family,ROSS,PHOEBE
460,hey cool duck chick little baby could call chuck,JOEY,JOEY
461,yeah well guess fight get drunk,CHANDLER,Others
462,bet i’d screw stuff hiring good was…,MONICA,JOEY
463,someone didn’t make,JOEY,Others
464,get cool aunt phoebe,RACHEL,MONICA
465,okay that's cannot make decision difficult i'm gonna leave entirely god fate,ROSS,RACHEL
466,hey,JOEY,JOEY
467,rachel let rachel,MONICA,Others
468,ross y'know isn’t even mean rachel something wonderful happen mean know even you’re right want sleep mean get,MONICA,RACHEL
469,yeah lose glove,CHANDLER,Others
470,hi,Others,Others
471,nudity,MONICA,Others
472,uh,JOEY,ROSS
473,i’m gonna pick,ROSS,MONICA
474,yeah good news tell,MONICA,MONICA
475,okay fine gunther y'know terrible waitress know i’m terrible waitress don’t care don’t care don’t care pot regular pot decaf don’t care tray spot don’t care want don’t think anymore i’m gonna give week notice,RACHEL,RACHEL
476,oh don’t thank thank jerk never show okay gotta get get work,CHANDLER,RACHEL
477,yeah know don’t think mean anything,PHOEBE,CHANDLER
478,yeah third drawer dresser don’t want lose,JOEY,ROSS
479,well don’t know don’t want,CHANDLER,RACHEL
480,emily emily oh god oh god emily emily everyone shush-shush-shhst hi,ROSS,ROSS
481,heavy thing get light,ROSS,MONICA
482,oh little party favour check,JOEY,RACHEL
483,help,MONICA,ROSS
484,oh,JOEY,PHOEBE
485,wheel,JOEY,Others
486,par-tay,ROSS,Others
487,gonna,JOEY,MONICA
488,yep we're couple that's couple wanna meet parent take trip parent,CHANDLER,MONICA
489,well mean,RACHEL,RACHEL
490,yeah help get furniture back gunther,ROSS,ROSS
491,well secretary gonna couple week one boob redused whole big boob story,CHANDLER,RACHEL
492,work i'm see thursday listen story,CHANDLER,MONICA
493,oh go honeymoon alone,RACHEL,RACHEL
494,hey fella,ROSS,CHANDLER
495,hey what’s,JOEY,Others
496,that’s okay right i’m gonna play song that’s really really sad it’s call magician box mix,PHOEBE,ROSS
497,rachel library card,MONICA,MONICA
498,umm y'know day talk get go london kinda feeling leave,JOEY,JOEY
499,okay worry i'm check see muscle's spasm...huh,PHOEBE,JOEY
500,okay look he's gonna hurt right,ROSS,MONICA
501,don’t blame saw discovery channel,JOEY,ROSS
502,think he's steal,RACHEL,MONICA
503,time difference,CHANDLER,ROSS
504,oh urse,JOEY,PHOEBE
505,use lock basement hour one every allow hear sound,MONICA,MONICA
506,ok,PHOEBE,ROSS
507,y'know,MONICA,RACHEL
508,oh yeah yeah great kinda get feeling sort come definitely would get part would've know would send little general,JOEY,ROSS
509,yeah then-then who's guy paint face mountain,JOEY,ROSS
510,hello chandler,MONICA,Others
511,patrick great time last night mean think could maybe turn something serious,RACHEL,Others
512,anything stew,MONICA,CHANDLER
513,come beep know,Others,PHOEBE
514,eh don’t hard someone still love get married…,PHOEBE,RACHEL
515,need come bachelor party weird cousin albert y'know he's botanist,CHANDLER,ROSS
516,oh god stop plan saw girl care mean anything look go go date danny go charm he's gonna forget stupid subway girl,MONICA,RACHEL
517,turn mother god turn,CHANDLER,MONICA
518,ok well problem we'll use stop bleeding ok baggage claim ok,RACHEL,RACHEL
519,oh god throw pepper fire,PHOEBE,MONICA
520,smart funny y'know last night talk say funny thing about--what,CHANDLER,ROSS
521,yeah,ROSS,ROSS
522,wow yeah,ROSS,RACHEL
523,anyway suddenly i'm field realise i'm one who's suppose catch right know way i'm gonna get time run run wake see ready father,ROSS,CHANDLER
524,right i’m gonna go say hi chick duck,JOEY,CHANDLER
525,what's thing know,JOEY,RACHEL
526,ooh cute i’m think jam pen eye,RACHEL,PHOEBE
527,mark,ROSS,ROSS
528,real honey really it’s fine g-go susan really think girl night great idea okay okay bye,ROSS,RACHEL
529,wanna check horoscope see right,PHOEBE,JOEY
530,oh yeah show picture guy throw they’re buying drink they’re give stuff knicks tonight,CHANDLER,Others
531,well that's gonna crash couch,MONICA,CHANDLER
532,okay rachel wanna put marshmellows concentric circle,MONICA,MONICA
533,good luck uh take care huh,JOEY,Others
534,sure it’s ah new bump mean offense i’ve always think ben fairly bumpy head child,RACHEL,ROSS
535,that's relatively open weave still see nipular area,CHANDLER,Others
536,really gonna go nurse man,CHANDLER,CHANDLER
537,oh it’s-it’s lecture ah mind umm,ROSS,ROSS
538,phoebe hang second take car go pick friend,Others,ROSS
539,joey let ask question light switch,MONICA,MONICA
540,monica hi um monica scar mean like like chaotic twirly not-not good way,PHOEBE,PHOEBE
541,he's right cause gonna like break heart that's kind thing wait,JOEY,ROSS
542,get one it’ll house y'know big sister,PHOEBE,JOEY
543,nope time,CHANDLER,CHANDLER
544,i'm gonna rest life mean can't break i'm one make quit drinking he's dull,Others,CHANDLER
545,oh yeah,PHOEBE,CHANDLER
546,know,RACHEL,RACHEL
547,chicken could eat chicken,MONICA,JOEY
548,test,Others,Others
549,yes,Others,CHANDLER
550,oh would monica hey listen wanna borrow coupla thing aurora spent night really wanna make breakfast,CHANDLER,CHANDLER
