,text,labels,predicted_label
66,"By the way, do you know who's moving back into town? Tom and Sue's daughter Jen.",Others,JOEY
67,"Eavesdropping. Pheebs, the ceiling tiles were falling down.",RACHEL,JOEY
68,"Oh, we have some…",MONICA,Others
69,That was Joey!,CHANDLER,MONICA
70,"Oh, that is so tacky.",RACHEL,MONICA
71,"I’m telling you Rachel, listen to Janice. They all say they’re gonna be there until they start their real family.",Others,JOEY
72,What?,ROSS,RACHEL
73,Oh that’s not so bad.,PHOEBE,JOEY
74,It’s not your birthday.,MONICA,MONICA
75,But honey you don't have to.,CHANDLER,PHOEBE
76,Hello.,ROSS,MONICA
77,Look at this! A millionaire's checkbook.,JOEY,RACHEL
78,Her name is Celia. She's not a bug lady. She's curator of insects at the museum.,ROSS,Others
79,"Hey Rach, the adoption agency needs letters of recommendation and we were wondering if you would write one for us.",MONICA,PHOEBE
80,I’m wearing two belts.,Others,RACHEL
81,Oh... Little heads-up would have been nice.,ROSS,JOEY
82,Hi-e!!,RACHEL,RACHEL
83,And then for forgetting to invite you to it.,PHOEBE,CHANDLER
84,"Y'know, I know it's totally superficial and we have absolutely nothing in common, and we don't even speak the same language but Goooooooddddddd....",RACHEL,JOEY
85,"I’m telling you, this looks exactly like your wedding! Aren’t these the same flowers?",ROSS,MONICA
86,"All right, I’ll see you guys.",JOEY,Others
87,"And I hope it’s not an inappropriate time to say this but, you’re the best sex I ever had.",RACHEL,ROSS
88,And so were-were you close to your parents?,RACHEL,ROSS
89,I can’t. I keep seeing it the good way.,JOEY,CHANDLER
90,Yes.,Others,Others
91,"Dude, you didn’t say Die Hard. Is everything okay?",ROSS,CHANDLER
92,"Oh my God, its happening. It's already started. I'm Kip.",RACHEL,Others
93,"Sorry! Sorry! Oh, there! Hey Gary, who am I? Phone home!",ROSS,ROSS
94,This is my dress!,MONICA,CHANDLER
95,"Well, close to…",CHANDLER,PHOEBE
96,"Joey! Joe! Full bag. Beer’s still cold. Something terrible must’ve happened here! Oh no-no-no-no-no-no! Stevie, I was never here!",CHANDLER,Others
97,"Yeah, y’know when we found out we were going to have a baby, y’know I figured y’know like I should y’know have like a career—and I love refrigerators!",Others,RACHEL
98,"It’s not the pants. It’s you that is backwards. And if, and if you don’t understand how important this is to me, well then, perhaps we shouldn’t get married at all!",Others,RACHEL
99,"No-no-no-no, this is bad! It’s bad! This is bad!",CHANDLER,JOEY
100,"That’s also the smaller piece. Okay, there you go. Enjoy your half my friend, but that is it. No sharing. No switching, and don’t come crying to me if you eat your piece to fast. Oh!!!!",RACHEL,ROSS
101,Pat the dog. Oh! Oh! I get it!!,RACHEL,RACHEL
102,Noo. Why?,ROSS,JOEY
103,Actually I've been playing a lot of love songs lately. I've missed you.,Others,MONICA
104,"Well y'know, we have 7 people and like 10 pizzas, what do you think?",RACHEL,Others
105,"Ah-ah-ah, now you started this, you will finish it.",MONICA,ROSS
106,I now pronounce you... husband and wife.,JOEY,JOEY
107,"No! No, she said you actually proposed to her.",PHOEBE,ROSS
108,Are you serious?,MONICA,JOEY
109,"Okay, y'know what? I'll-I'll have toast!",RACHEL,RACHEL
110,I can't believe it! I lost!,MONICA,PHOEBE
111,Why did I have to start working out again? Damn you 15s!,JOEY,CHANDLER
112,"Yeah! Anyway, I-I still think we should try to patch things up, y’know? Like uh, maybe we could get him to get tickets to another Knicks game and invite him.",ROSS,ROSS
113,"No. No-no uh, he just, he just really freaked me out before.",ROSS,ROSS
114,Thank you!,PHOEBE,MONICA
115,Well would you like me to lie down on the table?,RACHEL,PHOEBE
116,Six!,Others,RACHEL
117,"So, it's a typical day at work. I'm inputting my numbers, and big Al calls me into his office and tells me he wants to make me processing supervisor.",CHANDLER,ROSS
118,"Exactly, it’ll be illegal for him to drink at his own bachelor party.",ROSS,JOEY
119,"Yeah, it's like a cow's opinion. It just doesn't matter. It's moo.",JOEY,JOEY
120,"Uhh, look, your eye’s still popping out a little, I’m gonna go get some ice.",JOEY,ROSS
121,Hey Rachel?,PHOEBE,CHANDLER
122,Okay.,ROSS,RACHEL
123,Yeah.,MONICA,Others
124,"Okay, well I won’t uh, worry about this anymore then.",CHANDLER,JOEY
125,Hey! How was basketball?,RACHEL,RACHEL
126,‘Cos I was gonna say there’s no way you could’ve done the end the way you guys did it back then!,RACHEL,ROSS
127,Gone! I mean its amazing Pheebs. I feel so free and so graceful. Hey! Look out for the horse! Sorry!,RACHEL,MONICA
128,"Okay, you’re dancing with that girl over there.",Others,PHOEBE
129,"Well off the top of my head uhh, maybe she’s having her cake and eating it too. You being the cake and Richard being the too. Or!",JOEY,RACHEL
130,"Phoebe, good work.",MONICA,Others
131,"Look, that was supposed to be like a private, personal thing between us.",ROSS,MONICA
132,"What about me? I just found out that Denise is leaving town for a while, I don’t have a roommate.",PHOEBE,RACHEL
133,"Julie Grath, my camp girlfriend.",CHANDLER,JOEY
134,"No-no, it’s not okay! It’s not! I mean you were just… You’re so incredible! You went through all this time and effort to make this tape for me! Y’know I’m just gonna—I, I am gonna make this up to you! I will! I-I am going to cook anything you want in here",MONICA,CHANDLER
135,"Pheebs, I have studied evolution my entire adult life. Ok, I can tell you, we have collected fossils from all over the world that actually show the evolution of different species, ok? You can literally see them evolving through time.",ROSS,ROSS
136,Do you got your gracious loser face?,RACHEL,PHOEBE
137,Thank you.,MONICA,Others
138,"Oh, wow, can you believe you're like three weeks away?",MONICA,ROSS
139,You are going downer!,CHANDLER,ROSS
140,"Yeah, that’s like the most ugliest dress I’ve ever seen. Wh-why do you to return it?",CHANDLER,JOEY
141,Oh.,RACHEL,RACHEL
142,Uh-huh.,PHOEBE,MONICA
143,"Hey! Hey alright! Hey, glad you could make it Thanks for coming.",JOEY,Others
144,Oh.,PHOEBE,MONICA
145,Lean-lean-lean!,JOEY,CHANDLER
146,Right in there!,CHANDLER,Others
147,"Phoebe, it's me. I'm going to hunt you down and kill you!",RACHEL,MONICA
148,"No, I have a great idea for a present for her.",CHANDLER,JOEY
149,We're going to take Erica to recovery now.,Others,MONICA
150,Hi!,RACHEL,PHOEBE
151,"I don't get it, I mean, you just got him. How can he be an adult already?",CHANDLER,MONICA
152,"Okay, good night!",RACHEL,CHANDLER
153,"Okay, one thing at a time.",CHANDLER,JOEY
154,Oh my God!,RACHEL,MONICA
155,Really? You're not gonna return it?,ROSS,MONICA
156,"This is a very critical time right now. If you feel yourself reaching for that phone, then you go shoe shopping, you get your butt in a bubble bath. You want her back you have to start acting aloof.",RACHEL,Others
157,Hike!,CHANDLER,PHOEBE
158,"Okay, let’s talk outside.",PHOEBE,MONICA
159,What about Benitez?,Others,CHANDLER
160,Hi!,MONICA,CHANDLER
161,Joey you broke my chair!!,CHANDLER,JOEY
162,"Oh uh, it didn’t work out.",JOEY,RACHEL
163,"Oh, theyre both exclus",Others,MONICA
164,Nineteen Eighty Seven. The weekend you guys visited me at school.,ROSS,MONICA
165,How long do you have to go for?,JOEY,PHOEBE
166,"Hey, what are you guys doing tomorrow night?",Others,PHOEBE
167,"Okay. Yeah, I guess, I guess I could do that too.",ROSS,MONICA
168,"Okay, I’m gonna go get Frank.",PHOEBE,MONICA
169,Okay.,CHANDLER,CHANDLER
170,H-He's in China!,CHANDLER,CHANDLER
171,I got it.,Others,Others
172,"Come on, was it somebody maybe you dated in college?",MONICA,JOEY
173,"Shoot! Shoot! Shoot! Shoot, or just fall down. That's good too.",JOEY,CHANDLER
174,"Yes, you got something from the Screen Actor’s Guild.",CHANDLER,ROSS
175,Oh come on you big faker!,CHANDLER,CHANDLER
176,Where’s all the tissues?!,JOEY,Others
177,"I know it could be intimidating for regular people to be around celebrities but... relax, I'm just like you! Only better looking and richer.",JOEY,PHOEBE
178,Damn!,JOEY,ROSS
179,You walked around all night in the city by yourself?,RACHEL,PHOEBE
180,This is the worst Christmas ever.,PHOEBE,MONICA
181,"Hello Ross? It's Emily. I know this is out of the blue but uh, I'm getting married tomorrow. Well, maybe I am. I keep thinking about you and I'm wondering if-if we made a mistake giving up so fast. Are you thinking about me? Of course you're not, but if you are, call me tonight. Okay, bye.",Others,MONICA
182,"When I fall asleep on the couch after reading, she covers me over with a blanket.",MONICA,ROSS
183,"Yes it is perfectly good, and it is not one of the places the duck got sick!",JOEY,MONICA
184,What?!,JOEY,JOEY
185,"Yeah, but when the baby comes she’s gonna want to move.",ROSS,MONICA
186,"I-I mean I, well I think I can figure it out. I guess y'know I was born, and everyone started lying their asses off!",PHOEBE,JOEY
187,Bad news. I watched the tape and passed it along to my bosses and they weren't interested.,CHANDLER,Others
188,I’m sorry. I didn’t—I don’t come in here a lot.,RACHEL,JOEY
189,That is really nice…lying! No way is that the reason!,ROSS,RACHEL
190,Sup.. You want to talk supportive? You didn't even come and visit me when I was in the hospital having the baby.,RACHEL,RACHEL
191,Uh-huh.,CHANDLER,PHOEBE
192,Um-hmm.,JOEY,JOEY
193,"There-there was a suicide note?! Well, do you still have it?",PHOEBE,ROSS
194,Okay.,PHOEBE,JOEY
195,Well you’re gonna be a wonderful grandma.,ROSS,ROSS
196,Alright.. okay. No. Give it to me.,CHANDLER,CHANDLER
197,I didn’t know you could get married here.,RACHEL,RACHEL
198,Again true.,CHANDLER,Others
199,"Unless Snoopy says it to Charlie Brown, I think we're okay.",CHANDLER,RACHEL
200,"Ohh, she’s looking down the hall. Oh! She looked right at me! Oh wait, you can’t see people through that little hole, can you? Hello!",MONICA,CHANDLER
201,"A handsome man enters. Hey! How's it going guys? I don't know what you two were talking about, but I'd like to say thanks to both of you. You, you wouldn't let me give up on myself, and you well you co-created Fireball. The end.",JOEY,CHANDLER
202,Halftime.,ROSS,MONICA
203,Oh!,Others,ROSS
204,"Yeah! Yeah! Yeah! You just take a big, big swing.",JOEY,PHOEBE
205,"Oh, I know and he’s soo sweet! Listen, he said he was going to call, so put him straight through.",Others,JOEY
206,Hey!,CHANDLER,PHOEBE
207,I don't know. I could talk to her boss. Yeah! I met him at that Christmas party. We really hit it off.,ROSS,JOEY
208,Our kids are gonna be fat aren’t they.,CHANDLER,CHANDLER
209,Night-night Bing-a-ling.,Others,MONICA
210,Yeah. Y’know I keep thinking that something stupid is gonna come up and I’ll go all…Chandler. But nothing has.,CHANDLER,Others
211,Hide the Lamp.,MONICA,MONICA
212,"Nothing I do means anything, really.",ROSS,JOEY
213,What? I’m just said.,MONICA,PHOEBE
214,"Okay, I think that’s it. The seating chart is done. This is our wedding. They all look like they’re having fun don’t they?",MONICA,RACHEL
215,"Well good, good for you. You really think that Roger is the perfect guy?",CHANDLER,PHOEBE
216,I never had a bike of my own.,PHOEBE,MONICA
217,"Guess who's here. It's the toughest guy in toy land, Ben. 'A real American hero. I'm G.I. Joe!' Drop the Barbi, drop the Barbi.",ROSS,ROSS
218,Hi Ross! You ready for breakfast?,Others,JOEY
219,I'm afraid the situation is much worse than we expected. Your sister is suffering from a..subcranial hematoma. Perhaps we can discuss this over coffee.,JOEY,CHANDLER
220,"Yes, Fran. I know what time it is, but I'm looking at the WENUS and I'm not happy!... Oh, really, really, really? Well, let me tell you something... you will care about it, because I care about it! You got it? Good! Whooooaaaa....",CHANDLER,MONICA
221,"It’s a truffle. It’s got all of these layers. First there’s a layer of ladyfingers, then a layer of jam, then custard, which I made from scratch, then raspberries, more ladyfingers, then beef sauteed with peas and onions, then a little more custard, and then bananas, and then I just put some whipped cream on top!",RACHEL,MONICA
222,"I’ll tell you what Mon, I’ll give you the first box for free.",ROSS,JOEY
223,Really! What is with that guy? I mean you'd forgive me if I fogged you.,RACHEL,PHOEBE
224,"All right, let’s go! Bye, Pheebs!",ROSS,JOEY
225,"Oh my God, it's so huge, but you just have to promise me that you cannot tell anyone.",RACHEL,ROSS
226,Uhh… I think I just got engaged.,RACHEL,RACHEL
227,"Absolutely! Halloween is the worst. Except for Christmas…and their birthdays. Kinda get a little crazy during the summer too. And anytime they’re hungry or sleepy. Y’know, kids are tough. Good luck with that.",JOEY,ROSS
228,"Hey, Pheebs!",CHANDLER,JOEY
229,"Well, she probably wasn’t familiar with the process having spent most of her life sitting for oil paintings!",CHANDLER,CHANDLER
230,"Uh, it’s from yore. Like the days of yore. Y’know?",RACHEL,CHANDLER
231,I didn’t. I got under him.,RACHEL,Others
232,That is the Coast Guard.,RACHEL,MONICA
233,Really?! What's your name?,PHOEBE,PHOEBE
234,"I don’t know, let me think. I was walking down the street thinking, ‘I’m gonna tell the father today’ and then bam!",RACHEL,RACHEL
235,"I've no idea, could be. Listen, I'm sorry I had to work tonight. RACHEL",ROSS,CHANDLER
236,"Chandler, you have just described virtually every man that we have ever gone out with.",RACHEL,MONICA
237,How are you doing?,MONICA,MONICA
238,"No, I’m-I’m not sure about Hulk, but I like the idea of a name starting with ""The.""",PHOEBE,JOEY
239,"Uhh, you’ve had a lot of sex right?",CHANDLER,CHANDLER
240,Aren't we done with that?,PHOEBE,JOEY
241,Or incredibly offensive.,MONICA,ROSS
242,But I made cards!!,JOEY,MONICA
243,"Hey, finished my recommendation. Here. And I think you’ll be very, very happy. It’s the longest I ever spent on a computer without looking at porn.",JOEY,ROSS
244,Right back at ya!,RACHEL,Others
245,What do you mean?,MONICA,MONICA
246,Well that was before all the vaporizing action.,CHANDLER,ROSS
247,We did!,RACHEL,RACHEL
248,Hi!,RACHEL,JOEY
249,"Oh, I uh, I mean, I... dude, I spent the whole conference with Charlie.",ROSS,Others
250,Hey.,CHANDLER,JOEY
251,"Three of your five, what?",RACHEL,RACHEL
252,Dr. Wells is a woman.,Others,Others
253,"I know the process is frustrating, but it's so worth it. Adopting Owen was the best thing that ever happened to us.",Others,JOEY
254,"Oh, I cursed it. So now bad things will happen to he who spends it.",PHOEBE,RACHEL
255,"Yeah, me too.",JOEY,CHANDLER
256,Yes dear.,CHANDLER,JOEY
257,"Well, yeah, but... no. I mean, umm... doesn't.... doesn't Russ just remind you of someone?",PHOEBE,Others
258,"Nothing, I just thought I'd stop by.. y'know, after the uh... that I.. y'know, so what are you doing here?",PHOEBE,MONICA
259,"Hi, Joey. Well well, look what you brought.",Others,JOEY
260,Right!,JOEY,PHOEBE
261,They’ve been quiet for a long time.,PHOEBE,JOEY
262,"Oh, so, how are we doing?",PHOEBE,JOEY
263,Hey!,JOEY,RACHEL
264,"No! No! I'm talking you up to people. Just give it a little time, all right? Relax, get something to eat! Okay?",PHOEBE,JOEY
265,"No-no! No, I’m accepting it on her behalf.",JOEY,RACHEL
266,"Umm, I just wanna say, uh that with a pinch of exictement, a dash of hard work, a dollup of cooperation, we can have the recipe... Are you gonna kill me?",MONICA,JOEY
267,Ok.,ROSS,RACHEL
268,"Okay, this is inexcusable. I am shocked to my very core!",PHOEBE,JOEY
269,Oh you’re serious. Sure!,Others,JOEY
270,"No, no, I'm still working on mine.",Others,JOEY
271,"Huh. Okay, Mr. Perkazet.",PHOEBE,ROSS
272,"Y’know when you guys said you were gonna go across the hall and look, you don’t, you don’t do that every year do you?",CHANDLER,JOEY
273,Shoot! Shoot! Shoot!,Others,MONICA
274,"Spanish midgets. Spanish midgets wrestling. Julie. Ok, yes, I see how you got there.",CHANDLER,JOEY
275,"Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. Now what could you rub on your butt that would smell bad?",JOEY,CHANDLER
276,"Ohh, out, oh God, I don't know why we didn't think to check there!",RACHEL,MONICA
277,Hey!,ROSS,CHANDLER
278,No. No! You're doing great! Don’t you give up! That's why we didn't tell you and we're not gonna drag you down with us.,Others,RACHEL
279,Where are we?,Others,Others
280,I know! It’s awful. I love you.,Others,PHOEBE
281,Hey! Rachel! Come on!!!!,PHOEBE,Others
282,"Umm, actually I was about to tell you that I was, I was going to get out of it, but hey, if we're just goofing around then uh, maybe I will go out with him.",MONICA,RACHEL
283,You can't move. You just... you just can't.,RACHEL,Others
284,"Ooh, that bad, huh?",JOEY,ROSS
285,"Hey, Monica, who would yours be?",JOEY,CHANDLER
286,Oh…,RACHEL,MONICA
287,"It’s just I can’t because my manager said I…  ""Happy birthday to you, happy birthday to you. Happy birthday dear Annie…",JOEY,PHOEBE
288,Hi!,PHOEBE,Others
289,Yeah!,MONICA,MONICA
290,Ohh.,CHANDLER,RACHEL
291,There I am!,CHANDLER,JOEY
292,"Rach, it’s, it’s ah, it’s not that we don’t want to, really. Are we talking models in their underwear?",JOEY,RACHEL
293,"Oh, dude I’m so sorry!",JOEY,PHOEBE
294,"Look what do I do? I wanna get past this, I don't wanna be afraid of the commitment thing. I wanna go through the tunnel, to the other side!",CHANDLER,ROSS
295,You’re an actor!,CHANDLER,RACHEL
296,They're towing a car. And I am seeing...spots.,ROSS,RACHEL
297,"Don't ask me, I was in there canoodling you!",CHANDLER,PHOEBE
298,We'll go to a hotel.,Others,ROSS
299,"Y’know, bonus night. Y’know, when two people break up but they get back together for just one night.",RACHEL,CHANDLER
300,"Look, I'll just give you this and go.",Others,RACHEL
301,Okay! Okay! Okay! We'll see you in about 3 to 4 hours.,MONICA,JOEY
302,Nope.,ROSS,ROSS
303,Yeah-hah. Toute-de-le-fruit.,JOEY,RACHEL
304,"Wow, he's cute, Pheebs! But I thought you just started dating that Kindergarten teacher.",RACHEL,Others
305,"Oh, I just went for a walk, around the living room. Whatever…",CHANDLER,MONICA
306,"Maybe you should look up ""fascinating.""",ROSS,MONICA
307,"No, no, no.",CHANDLER,Others
308,"I've been trying for two days. When I called the restaurant, they said she was too busy to talk. I can't believe she's blowin' me off.",JOEY,JOEY
309,JOEY DOESN'T SHARE FOOD!,JOEY,Others
310,"Oh hey, do you still have their final exams?",JOEY,CHANDLER
311,"Uh, The Wheatsheaf.",CHANDLER,JOEY
312,"Rachel? Um, hi.",PHOEBE,JOEY
313,I did. But it came at a price.,CHANDLER,RACHEL
314,"Well then you can't have any. Bear overboard! I think he's drowning. Hey fellows! Grab on a Sugar-O... save yourself! ""Help! I'm drowning! Help!""",Others,JOEY
315,"Okay, your highness.",PHOEBE,JOEY
316,"Shouldn't the pizza be here by now? I mean, they said thirty minutes or less. Well, how long has it been?",ROSS,Others
317,I am gonna try and quit drinking.,Others,MONICA
318,Would you excuse us for a second? Umm…. what are you doing?,ROSS,MONICA
319,"Yes, yes I am, one of the many things I’m feeling. Well....",ROSS,RACHEL
320,Oh great!,CHANDLER,ROSS
321,Yes. I like Rachel.,JOEY,RACHEL
322,Yeah!,PHOEBE,ROSS
323,He's just fine.,Others,RACHEL
324,"Okay. So, what are you?",PHOEBE,PHOEBE
325,Pheebs! Pheebs! Ross wants to kiss you at midnight!,JOEY,RACHEL
326,I feel really sad that we're not…really there anymore.,MONICA,ROSS
327,Well-well—see? Parents are comin’!,JOEY,JOEY
328,Why? Because of the government.,MONICA,Others
329,"Okay, I hear you! Are you capable of talking about any thing else?",PHOEBE,RACHEL
330,"Ohh, honey no problem. Okay.",RACHEL,ROSS
331,"Yeah, just like the one in the poem.",MONICA,JOEY
332,What?! What?!,ROSS,CHANDLER
333,"Just figured, 'cause you and Ross are...",MONICA,ROSS
334,Shhhh!,Others,PHOEBE
335,Oh... Bye guys.,RACHEL,JOEY
336,Pretty much.,MONICA,CHANDLER
337,"Hey uh, well, today’s my first lecture and I kinda wanted to try it out on you guys, do you, do you mind?",ROSS,PHOEBE
338,"And, and!",PHOEBE,RACHEL
339,"Phoebe, you said it was urgent!",ROSS,ROSS
340,What?! Why?,Others,JOEY
341,They gave us a fake number? Why? Why would they do that?,MONICA,MONICA
342,Which smells delicious!,CHANDLER,JOEY
343,"Hi. Hi, uh, yes, this is Monica Geller. Um, I believe I'm taking some classes with you and I was wondering what they were.",MONICA,JOEY
344,Wow! Really?!,ROSS,PHOEBE
345,Hi Danny! Wow! Thirsty huh?,RACHEL,MONICA
346,We think Chandler might be having an affair.,ROSS,JOEY
347,"No, a car backfired, but I thought somebody was taking a shot at me. And Rach, I…I survived! And I was filled with this-this great respect for life. Y'know? I-I want to experience every moment. I want to seize every opportunity. I-I am seeing everything so-so clearly now.",ROSS,Others
348,I promise.,MONICA,PHOEBE
349,That's worse than no food.,ROSS,MONICA
350,I had the same dream!,JOEY,JOEY
351,Wow. So then did you make it with beef or Eggplant?,PHOEBE,RACHEL
352,No?,RACHEL,PHOEBE
353,"Oh yeah, it must be tough to keep your hands of him, huh?",JOEY,ROSS
354,"So uh, he seems like a nice guy.",ROSS,CHANDLER
355,"Yeah, tell me about it.",ROSS,RACHEL
356,One of the slots got filled.,CHANDLER,MONICA
357,"Look, don't blame us. You guys coulda been there, you know.",ROSS,Others
358,See you guys.,RACHEL,JOEY
359,Hey... Wh... What are you doing?,Others,MONICA
360,"Sure, what.. what was the work thing?",PHOEBE,MONICA
361,Got it! Hey hey hey! Where do you think you're going?,JOEY,CHANDLER
362,"No-ho-ho! Yeah. I mean, no-no-no-no-no, don’t you worry, I’m sure with your qualifications you won’t need to sleep with some guy to get that job. Although, I might need some convincing.",Others,JOEY
363,Hi.,RACHEL,ROSS
364,Ooooooh.,JOEY,CHANDLER
365,"Hey! You were really great! You were really, really great!",PHOEBE,MONICA
366,The most unbelievable thing happened to me today.,RACHEL,JOEY
367,Age?,JOEY,MONICA
368,Y'don't think that makes me seem a little...,CHANDLER,ROSS
369,"Yeah, we’re gonna be fine! Get out!",JOEY,JOEY
370,"Ross, you're like my best friend.",RACHEL,RACHEL
371,"Look, I know what's going on here, okay, Mark explained it all to me. He said this is what you guys do.",RACHEL,PHOEBE
372,Okay but what about y'know my pinchable butt and my bulging biceps—She knows!,CHANDLER,RACHEL
373,"All right, let's see, call me mrs Hannigan.",PHOEBE,Others
374,I am not a pushover!,RACHEL,CHANDLER
375,"OK. The only thing worse than the mindless, adolescent direction...",PHOEBE,PHOEBE
376,How long have we been home?,CHANDLER,CHANDLER
377,"He’s right, even if it’s to say something complementary.",ROSS,CHANDLER
378,"All right. I’m gonna go to the fertility doctor and um, see if I’m ready to have Frank and Alice’s embryo transferred into my uterus.",PHOEBE,RACHEL
379,"What? No, I'm taking Monica to a romantic inn in Vermont !",CHANDLER,ROSS
380,"Okay, you are totally making this up.",ROSS,JOEY
381,No! Her boyfriend Richard!,CHANDLER,PHOEBE
382,What's up?,JOEY,PHOEBE
383,No anchovies.,ROSS,RACHEL
384,Surprise! Look who’s back!,PHOEBE,PHOEBE
385,Pheebs! Hey Pheebs!,Others,JOEY
386,I know. Ross is getting married.,JOEY,JOEY
387,Still broken?,CHANDLER,RACHEL
388,"Enough said, I'm there for you man. Where is she, upstairs?",JOEY,JOEY
389,You were great. But they still made fun of you.,PHOEBE,JOEY
390,Maybe the problem was you were pronouncing it kara-tay.,CHANDLER,JOEY
391,"Oh, Liam. So uh, what, were you guys playing soccer or something—or should I call it football?",ROSS,JOEY
392,What d'you think?,MONICA,RACHEL
393,That-that is a good trick.,JOEY,RACHEL
394,In Bizarro World!! You broke the code!,JOEY,RACHEL
395,"Oh. Okay. Hey, can I ride this outside?",JOEY,CHANDLER
396,"You are? Me, too!",ROSS,JOEY
397,Co-founded!,Others,MONICA
398,That's my bubby!,RACHEL,MONICA
399,All right.,RACHEL,JOEY
400,"Anyway, Ross and I were always captains, and um, it got kind’ve competitive and one year, Geller Bowl VI, I accidentally broke Ross’s nose.",MONICA,PHOEBE
401,"Well, it’s just the reason that I’m asking is because I kind of eh, uh, I was unable to—I mean I really wanted too, but I couldn’t…. There huh—hmm, there-there was an incident.",CHANDLER,JOEY
402,Ross and Emily have made their declarations and it gives me great pleasure to declare them husband and wife.,Others,PHOEBE
